time,template
0.420166,5.609579e-20
0.420410,5.446515e-20
0.420654,5.251456e-20
0.420898,5.025721e-20
0.421143,4.770226e-20
0.421387,4.486833e-20
0.421631,4.176972e-20
0.421875,3.842698e-20
0.422119,3.485695e-20
0.422363,3.108104e-20
0.422607,2.711879e-20
0.422852,2.299971e-20
0.423096,1.874223e-20
0.423340,1.437198e-20
0.423584,9.913596e-21
0.423828,5.399467e-21
0.424072,8.498486e-22
0.424316,-3.704028e-21
0.424561,-8.242604e-21
0.424805,-1.273283e-20
0.425049,-1.715090e-20
0.425293,-2.146559e-20
0.425537,-2.565751e-20
0.425781,-2.970169e-20
0.426025,-3.357321e-20
0.426270,-3.724473e-20
0.426514,-4.069969e-20
0.426758,-4.391788e-20
0.427002,-4.687738e-20
0.427246,-4.956017e-20
0.427490,-5.195183e-20
0.427734,-5.403590e-20
0.427979,-5.580371e-20
0.428223,-5.724090e-20
0.428467,-5.834073e-20
0.428711,-5.909494e-20
0.428955,-5.950012e-20
0.429199,-5.955307e-20
0.429443,-5.925301e-20
0.429688,-5.860196e-20
0.429932,-5.760315e-20
0.430176,-5.626199e-20
0.430420,-5.458709e-20
0.430664,-5.258803e-20
0.430908,-5.027416e-20
0.431152,-4.766043e-20
0.431396,-4.476455e-20
0.431641,-4.160022e-20
0.431885,-3.818642e-20
0.432129,-3.454610e-20
0.432373,-3.069797e-20
0.432617,-2.666465e-20
0.432861,-2.247245e-20
0.433105,-1.814114e-20
0.433350,-1.370593e-20
0.433594,-9.181803e-21
0.433838,-4.604542e-21
0.434082,3.990032e-24
0.434326,4.615422e-21
0.434570,9.197704e-21
0.434814,1.372978e-20
0.435059,1.818181e-20
0.435303,2.252795e-20
0.435547,2.673960e-20
0.435791,3.079319e-20
0.436035,3.466288e-20
0.436279,3.833048e-20
0.436523,4.176799e-20
0.436768,4.495445e-20
0.437012,4.787665e-20
0.437256,5.051150e-20
0.437500,5.284558e-20
0.437744,5.486213e-20
0.437988,5.655131e-20
0.438232,5.790188e-20
0.438477,5.890593e-20
0.438721,5.955587e-20
0.438965,5.984841e-20
0.439209,5.978136e-20
0.439453,5.935506e-20
0.439697,5.857161e-20
0.439941,5.743499e-20
0.440186,5.595265e-20
0.440430,5.413086e-20
0.440674,5.198574e-20
0.440918,4.952389e-20
0.441162,4.676340e-20
0.441406,4.371974e-20
0.441650,4.040900e-20
0.441895,3.685631e-20
0.442139,3.307746e-20
0.442383,2.909712e-20
0.442627,2.494168e-20
0.442871,2.063207e-20
0.443115,1.619494e-20
0.443359,1.166057e-20
0.443604,7.053699e-21
0.443848,2.398476e-21
0.444092,-2.272418e-21
0.444336,-6.929779e-21
0.444580,-1.154811e-20
0.444824,-1.609494e-20
0.445068,-2.055234e-20
0.445312,-2.488353e-20
0.445557,-2.906405e-20
0.445801,-3.307397e-20
0.446045,-3.688243e-20
0.446289,-4.046650e-20
0.446533,-4.380967e-20
0.446777,-4.688664e-20
0.447021,-4.968086e-20
0.447266,-5.217201e-20
0.447510,-5.434736e-20
0.447754,-5.619355e-20
0.447998,-5.769712e-20
0.448242,-5.885150e-20
0.448486,-5.964605e-20
0.448730,-6.007823e-20
0.448975,-6.014392e-20
0.449219,-5.984267e-20
0.449463,-5.917576e-20
0.449707,-5.814771e-20
0.449951,-5.676389e-20
0.450195,-5.503187e-20
0.450439,-5.296375e-20
0.450684,-5.057048e-20
0.450928,-4.786792e-20
0.451172,-4.486838e-20
0.451416,-4.159450e-20
0.451660,-3.806372e-20
0.451904,-3.430035e-20
0.452148,-3.032443e-20
0.452393,-2.615841e-20
0.452637,-2.183339e-20
0.452881,-1.737169e-20
0.453125,-1.279962e-20
0.453369,-8.149619e-21
0.453613,-3.442929e-21
0.453857,1.280593e-21
0.454102,6.004765e-21
0.454346,1.068953e-20
0.454590,1.531243e-20
0.454834,1.984140e-20
0.455078,2.425114e-20
0.455322,2.851350e-20
0.455566,3.260443e-20
0.455811,3.649382e-20
0.456055,4.015995e-20
0.456299,4.357940e-20
0.456543,4.673160e-20
0.456787,4.959792e-20
0.457031,5.215961e-20
0.457275,5.439921e-20
0.457520,5.630365e-20
0.457764,5.786035e-20
0.458008,5.906135e-20
0.458252,5.989597e-20
0.458496,6.036114e-20
0.458740,6.045258e-20
0.458984,6.016965e-20
0.459229,5.951330e-20
0.459473,5.848850e-20
0.459717,5.709992e-20
0.459961,5.535786e-20
0.460205,5.327057e-20
0.460449,5.085163e-20
0.460693,4.811466e-20
0.460938,4.507916e-20
0.461182,4.176155e-20
0.461426,3.818422e-20
0.461670,3.436416e-20
0.461914,3.033471e-20
0.462158,2.610914e-20
0.462402,2.172156e-20
0.462646,1.719496e-20
0.462891,1.255823e-20
0.463135,7.844740e-21
0.463379,3.077474e-21
0.463623,-1.708362e-21
0.463867,-6.485687e-21
0.464111,-1.122741e-20
0.464355,-1.589843e-20
0.464600,-2.047661e-20
0.464844,-2.492363e-20
0.465088,-2.922100e-20
0.465332,-3.333425e-20
0.465576,-3.724307e-20
0.465820,-4.091900e-20
0.466064,-4.433975e-20
0.466309,-4.748614e-20
0.466553,-5.033461e-20
0.466797,-5.286988e-20
0.467041,-5.507499e-20
0.467285,-5.693438e-20
0.467529,-5.843794e-20
0.467773,-5.957532e-20
0.468018,-6.033857e-20
0.468262,-6.072304e-20
0.468506,-6.072590e-20
0.468750,-6.034695e-20
